gameid,league,year,date,game,side,position,playername,teamname,champion,result
TRLH3/1000440016,WLDs,2014,2014-09-21 10:21:51,1.0,Red,sup,Touch,Dark Passage,Janna,0
TRLH3/1000440023,WLDs,2014,2014-09-21 11:23:59,1.0,Blue,top,Cola,Royal Club,Ryze,1
TRLH3/1000440023,WLDs,2014,2014-09-21 11:23:59,1.0,Blue,jng,inSec,Royal Club,Lee Sin,1
TRLH3/1000440023,WLDs,2014,2014-09-21 11:23:59,1.0,Blue,mid,Corn,Royal Club,Orianna,1
TRLH3/1000440023,WLDs,2014,2014-09-21 11:23:59,1.0,Blue,bot,Uzi,Royal Club,Lucian,1
TRLH3/1000440023,WLDs,2014,2014-09-21 11:23:59,1.0,Blue,sup,Zero,Royal Club,Nami,1
TRLH3/1000440023,WLDs,2014,2014-09-21 11:23:59,1.0,Red,top,Achie,Taipei Assassins,Dr. Mundo,0
TRLH3/1000440023,WLDs,2014,2014-09-21 11:23:59,1.0,Red,jng,Winds,Taipei Assassins,Kha'Zix,0
TRLH3/1000440023,WLDs,2014,2014-09-21 11:23:59,1.0,Red,mid,Morning,Taipei Assassins,Fizz,0
TRLH3/1000440023,WLDs,2014,2014-09-21 11:23:59,1.0,Red,bot,BeBe,Taipei Assassins,Tristana,0
TRLH3/1000440023,WLDs,2014,2014-09-21 11:23:59,1.0,Red,sup,Chieh,Taipei Assassins,Janna,0
TRLH3/1000440032,WLDs,2014,2014-09-21 12:16:51,1.0,Blue,top,Prydz,ahq eSports Club,Kayle,1
TRLH3/1000440032,WLDs,2014,2014-09-21 12:16:51,1.0,Blue,jng,Naz,ahq eSports Club,Lee Sin,1
TRLH3/1000440032,WLDs,2014,2014-09-21 12:16:51,1.0,Blue,mid,Westdoor,ahq eSports Club,Zed,1
TRLH3/1000440032,WLDs,2014,2014-09-21 12:16:51,1.0,Blue,bot,GarnetDevil,ahq eSports Club,Jinx,1
TRLH3/1000440032,WLDs,2014,2014-09-21 12:16:51,1.0,Blue,sup,GreenTea,ahq eSports Club,Thresh,1
TRLH3/1000440032,WLDs,2014,2014-09-21 12:16:51,1.0,Red,top,Korol,EDward Gaming,Lulu,0
TRLH3/1000440032,WLDs,2014,2014-09-21 12:16:51,1.0,Red,jng,Clearlove,EDward Gaming,Kha'Zix,0
TRLH3/1000440032,WLDs,2014,2014-09-21 12:16:51,1.0,Red,mid,U,EDward Gaming,Jayce,0
TRLH3/1000440032,WLDs,2014,2014-09-21 12:16:51,1.0,Red,bot,NaMei,EDward Gaming,Lucian,0
TRLH3/1000440032,WLDs,2014,2014-09-21 12:16:51,1.0,Red,sup,FZZF,EDward Gaming,Janna,0
