gameid,league,year,date,game,side,position,playername,teamname,champion,ban1,ban2,ban3,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstbloodkill,firstbloodvictim
TRLH3/1000430112,WLDs,2014,2014-09-19 13:15:17,1.0,Red,mid,Morning,Taipei Assassins,Orianna,Zed,Maokai,Alistar,2456,0,2,1,2,4,14,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430112,WLDs,2014,2014-09-19 13:15:17,1.0,Red,bot,BeBe,Taipei Assassins,Tristana,Zed,Maokai,Alistar,2456,0,0,2,2,4,14,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430112,WLDs,2014,2014-09-19 13:15:17,1.0,Red,sup,Chieh,Taipei Assassins,Leona,Zed,Maokai,Alistar,2456,0,2,3,0,4,14,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430120,WLDs,2014,2014-09-19 14:19:56,1.0,Blue,top,Korol,EDward Gaming,Maokai,Fizz,Lee Sin,Twisted Fate,2168,1,5,4,15,28,10,0.0,0.0,0.0,0.0,0.0,1.0
TRLH3/1000430120,WLDs,2014,2014-09-19 14:19:56,1.0,Blue,jng,Clearlove,EDward Gaming,Rengar,Fizz,Lee Sin,Twisted Fate,2168,1,7,2,10,28,10,1.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430120,WLDs,2014,2014-09-19 14:19:56,1.0,Blue,mid,U,EDward Gaming,Zed,Fizz,Lee Sin,Twisted Fate,2168,1,8,1,7,28,10,1.0,1.0,0.0,0.0,0.0,0.0
TRLH3/1000430120,WLDs,2014,2014-09-19 14:19:56,1.0,Blue,bot,NaMei,EDward Gaming,Twitch,Fizz,Lee Sin,Twisted Fate,2168,1,5,0,11,28,10,1.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430120,WLDs,2014,2014-09-19 14:19:56,1.0,Blue,sup,FZZF,EDward Gaming,Thresh,Fizz,Lee Sin,Twisted Fate,2168,1,3,3,17,28,10,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430120,WLDs,2014,2014-09-19 14:19:56,1.0,Red,top,Prydz,ahq eSports Club,Nidalee,Ryze,Zilean,Alistar,2168,0,3,7,5,10,28,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430120,WLDs,2014,2014-09-19 14:19:56,1.0,Red,jng,Naz,ahq eSports Club,Kha'Zix,Ryze,Zilean,Alistar,2168,0,1,5,3,10,28,0.0,0.0,0.0,0.0,1.0,0.0
