id_igre,league,date,game,teamname,result
312,WLDs,2015-10-15 15:43:10,1.0,Origen,1
313,WLDs,2015-10-15 17:15:22,2.0,Origen,1
314,WLDs,2015-10-15 17:15:22,2.0,Flash Wolves,0
315,WLDs,2015-10-15 18:20:12,3.0,Flash Wolves,1
316,WLDs,2015-10-15 18:20:12,3.0,Origen,0
317,WLDs,2015-10-15 19:24:02,4.0,Origen,1
318,WLDs,2015-10-15 19:24:02,4.0,Flash Wolves,0
319,WLDs,2015-10-16 15:34:50,1.0,SK Telecom T1,1
320,WLDs,2015-10-16 15:34:50,1.0,ahq eSports Club,0
321,WLDs,2015-10-16 17:05:47,2.0,ahq eSports Club,0
322,WLDs,2015-10-16 17:05:47,2.0,SK Telecom T1,1
323,WLDs,2015-10-16 17:55:13,3.0,SK Telecom T1,1
324,WLDs,2015-10-16 17:55:13,3.0,ahq eSports Club,0
325,WLDs,2015-10-17 12:42:27,1.0,Fnatic,1
326,WLDs,2015-10-17 12:42:27,1.0,EDward Gaming,0
327,WLDs,2015-10-17 15:35:45,2.0,EDward Gaming,0
328,WLDs,2015-10-17 15:35:45,2.0,Fnatic,1
329,WLDs,2015-10-17 16:23:42,3.0,Fnatic,1
330,WLDs,2015-10-17 16:23:42,3.0,EDward Gaming,0
331,WLDs,2015-10-18 12:53:37,1.0,KT Rolster,1
332,WLDs,2015-10-18 12:53:37,1.0,ROX Tigers,0
333,WLDs,2015-10-18 14:12:52,2.0,ROX Tigers,1
334,WLDs,2015-10-18 14:12:52,2.0,KT Rolster,0
335,WLDs,2015-10-18 15:15:43,3.0,KT Rolster,0
336,WLDs,2015-10-18 15:15:43,3.0,ROX Tigers,1
337,WLDs,2015-10-18 16:11:24,4.0,ROX Tigers,1
338,WLDs,2015-10-18 16:11:24,4.0,KT Rolster,0
339,WLDs,2015-10-24 14:00:30,1.0,SK Telecom T1,1
340,WLDs,2015-10-24 14:00:30,1.0,Origen,0
341,WLDs,2015-10-24 15:26:23,2.0,Origen,0
342,WLDs,2015-10-24 15:26:23,2.0,SK Telecom T1,1
343,WLDs,2015-10-24 16:26:14,3.0,SK Telecom T1,1
344,WLDs,2015-10-24 16:26:14,3.0,Origen,0
345,WLDs,2015-10-25 11:27:26,1.0,Fnatic,0
346,WLDs,2015-10-25 11:27:26,1.0,ROX Tigers,1
347,WLDs,2015-10-25 14:19:24,2.0,ROX Tigers,1
348,WLDs,2015-10-25 14:19:24,2.0,Fnatic,0
349,WLDs,2015-10-25 15:36:37,3.0,Fnatic,0
350,WLDs,2015-10-25 15:36:37,3.0,ROX Tigers,1
351,WLDs,2015-10-31 10:56:01,1.0,SK Telecom T1,1
352,WLDs,2015-10-31 10:56:01,1.0,ROX Tigers,0
353,WLDs,2015-10-31 12:50:43,2.0,ROX Tigers,0
354,WLDs,2015-10-31 12:50:43,2.0,SK Telecom T1,1
355,WLDs,2015-10-31 13:50:55,3.0,SK Telecom T1,0
356,WLDs,2015-10-31 13:50:55,3.0,ROX Tigers,1
357,WLDs,2015-10-31 14:52:21,4.0,ROX Tigers,0
358,WLDs,2015-10-31 14:52:21,4.0,SK Telecom T1,1
359,MSI,2016-05-04 05:08:36,1.0,Royal Never Give Up,1
360,MSI,2016-05-04 05:08:36,1.0,Counter Logic Gaming,0
361,MSI,2016-05-04 06:52:16,1.0,G2 Esports,0
362,MSI,2016-05-04 06:52:16,1.0,Flash Wolves,1
363,MSI,2016-05-04 08:08:47,1.0,SK Telecom T1,1
364,MSI,2016-05-04 08:08:47,1.0,SuperMassive Esports,0
365,MSI,2016-05-04 09:07:30,1.0,Counter Logic Gaming,1
366,MSI,2016-05-04 09:07:30,1.0,Flash Wolves,0
367,MSI,2016-05-04 10:20:26,1.0,G2 Esports,0
368,MSI,2016-05-04 10:20:26,1.0,SK Telecom T1,1
369,MSI,2016-05-04 11:11:37,1.0,SuperMassive Esports,0
370,MSI,2016-05-04 11:11:37,1.0,Royal Never Give Up,1
371,MSI,2016-05-05 05:03:22,1.0,Counter Logic Gaming,1
372,MSI,2016-05-05 05:03:22,1.0,G2 Esports,0
373,MSI,2016-05-05 06:24:17,1.0,SK Telecom T1,0
374,MSI,2016-05-05 06:24:17,1.0,Royal Never Give Up,1
375,MSI,2016-05-05 07:54:24,1.0,Flash Wolves,1
376,MSI,2016-05-05 07:54:24,1.0,SuperMassive Esports,0
377,MSI,2016-05-05 08:50:35,1.0,Royal Never Give Up,1
378,MSI,2016-05-05 08:50:35,1.0,G2 Esports,0
379,MSI,2016-05-05 09:52:50,1.0,SuperMassive Esports,1
380,MSI,2016-05-05 09:52:50,1.0,Counter Logic Gaming,0
381,MSI,2016-05-05 10:53:20,1.0,SK Telecom T1,0
382,MSI,2016-05-05 10:53:20,1.0,Flash Wolves,1
383,MSI,2016-05-06 04:51:30,1.0,Flash Wolves,0
384,MSI,2016-05-06 04:51:30,1.0,Royal Never Give Up,1
385,MSI,2016-05-06 06:28:16,1.0,Counter Logic Gaming,1
386,MSI,2016-05-06 06:28:16,1.0,SK Telecom T1,0
387,MSI,2016-05-06 07:39:30,1.0,SuperMassive Esports,0
388,MSI,2016-05-06 07:39:30,1.0,G2 Esports,1
389,MSI,2016-05-06 08:44:41,1.0,Flash Wolves,1
390,MSI,2016-05-06 08:44:41,1.0,SK Telecom T1,0
391,MSI,2016-05-06 09:51:33,1.0,Counter Logic Gaming,1
392,MSI,2016-05-06 09:51:33,1.0,SuperMassive Esports,0
393,MSI,2016-05-06 10:50:06,1.0,G2 Esports,0
394,MSI,2016-05-06 10:50:06,1.0,Royal Never Give Up,1
395,MSI,2016-05-07 06:27:35,1.0,G2 Esports,1
396,MSI,2016-05-07 06:27:35,1.0,SuperMassive Esports,0
397,MSI,2016-05-07 07:15:22,1.0,Royal Never Give Up,1
398,MSI,2016-05-07 07:15:22,1.0,Flash Wolves,0
399,MSI,2016-05-07 08:27:46,1.0,SK Telecom T1,1
400,MSI,2016-05-07 08:27:46,1.0,Counter Logic Gaming,0
401,MSI,2016-05-07 09:08:19,1.0,Flash Wolves,1
402,MSI,2016-05-07 09:08:19,1.0,G2 Esports,0
403,MSI,2016-05-07 10:11:55,1.0,Counter Logic Gaming,1
404,MSI,2016-05-07 10:11:55,1.0,Royal Never Give Up,0
405,MSI,2016-05-07 11:19:27,1.0,SuperMassive Esports,0
406,MSI,2016-05-07 11:19:27,1.0,SK Telecom T1,1
407,MSI,2016-05-08 02:57:31,1.0,Royal Never Give Up,1
408,MSI,2016-05-08 02:57:31,1.0,SuperMassive Esports,0
409,MSI,2016-05-08 04:17:19,1.0,Flash Wolves,0
410,MSI,2016-05-08 04:17:19,1.0,Counter Logic Gaming,1
411,MSI,2016-05-08 05:23:08,1.0,SK Telecom T1,1
412,MSI,2016-05-08 05:23:08,1.0,G2 Esports,0
413,MSI,2016-05-08 06:16:26,1.0,SuperMassive Esports,0
414,MSI,2016-05-08 06:16:26,1.0,Flash Wolves,1
415,MSI,2016-05-08 07:14:19,1.0,G2 Esports,0
416,MSI,2016-05-08 07:14:19,1.0,Counter Logic Gaming,1
417,MSI,2016-05-08 08:00:53,1.0,Royal Never Give Up,0
418,MSI,2016-05-08 08:00:53,1.0,SK Telecom T1,1
